County,Year,No of NJCEP Programs,Annual Electric Savings (kWh),Annual Gas Savings (Therms)
Middlesex,2011,61,1312837.33,72738.86
Middlesex,2012,105,1717772.51,64445.39
Middlesex,2013,46,1494880.87,32795.72
Middlesex,2014,22,380820.09,32520.34
Middlesex,2015,53,2660031.06,78024.12
Middlesex,2016,44,859767.89,74924.58
Middlesex,2017,18,1091431,47473.89
Middlesex,2018,104,2078691,45032.63
Middlesex,2019,50,1346673,47457.21
Middlesex,2020,104,1974648,42936.6
Middlesex,2021,8,184102,20030.11
Monmouth,2008,1,1353.13,0
Monmouth,2009,61,51433.17,195
Monmouth,2010,65,340579.37,579.72
Monmouth,2011,128,2376497.73,35095.22
Monmouth,2012,111,1936048.34,39375.38
Monmouth,2013,32,434842.73,14756.38
Monmouth,2014,62,499405.28,12043.58
Monmouth,2015,34,1083872.51,78236.94
Monmouth,2016,16,571667.38,23122.82
Monmouth,2017,30,283274,42152.95
Monmouth,2018,28,406170,1294.7
Monmouth,2019,120,6330474,601791.33
Monmouth,2020,126,5174430,85847.04
Monmouth,2021,33,890942,56504.5
Morris,2008,1,1195.74,0
Morris,2009,38,9962.7,0
Morris,2010,28,310900.44,0
Morris,2011,106,2711679.98,134741.49
Morris,2012,51,468756.97,39438.38
Morris,2013,16,5475533.39,2980.82
Morris,2014,40,811386.88,36439.9
Morris,2015,18,1339401.49,4526.83
Morris,2016,13,561097,0
Morris,2017,27,1419201,25645.9
Morris,2018,92,6027103,358555.91
Morris,2019,58,3841277,125779.71
Morris,2020,55,1652293,17220.59
Morris,2021,10,307996,8646.45
Ocean,2008,3,40637.41,0
Ocean,2009,16,40725.3,0
Ocean,2010,34,60298.86,9795.43
Ocean,2011,95,1073814.64,12066.39
Ocean,2012,44,1020458.94,6464.39
Ocean,2013,27,1259651.47,4677.37
Ocean,2014,42,446653.64,46161.17
Ocean,2015,43,1153964.44,42634.41
Ocean,2016,17,506715.62,9228.41
Ocean,2017,28,385640,29653.64
Ocean,2018,75,546273,37602.71
Ocean,2019,52,783905,28865.83
Ocean,2020,64,1602162,28996.84
Ocean,2021,48,1791600,18077.33
Passaic,2008,0,0,0
Passaic,2009,8,0,0
Passaic,2010,15,439.95,12863.55
Passaic,2011,42,883223.89,4560.48
Passaic,2012,29,715033.37,15360.5
Passaic,2013,38,138375.09,12104.16
Passaic,2014,17,167089.65,43301.34
Passaic,2015,15,333853.13,4728.1
Passaic,2016,8,23588.97,33972.03
Passaic,2017,2,17843,0
Passaic,2018,22,277970,52005.28
Passaic,2019,33,987507,55336.47
Passaic,2020,122,4508204,196672.59
Passaic,2021,2,23401,-53.82
Salem,2008,0,0,0
Salem,2009,0,0,0
Salem,2010,5,0,30188
Salem,2011,3,39307.3,0
Salem,2012,24,348978.14,991.44
Salem,2013,1,408889,18226
Salem,2014,10,12348.78,0
Salem,2015,0,0,0
Salem,2016,2,5566,0
Salem,2017,0,0,0
Salem,2018,5,121385,18054.24
Salem,2019,14,77039,-113.06
Salem,2020,21,872867,-3232.18
Salem,2021,9,127310,15843.14
Somerset,2008,8,466397.28,0
Somerset,2009,4,10479.45,0
Somerset,2010,11,44109.29,0
Somerset,2011,68,1307024.54,35013.3
Somerset,2012,48,1186513.36,40269.13
Somerset,2013,10,222075.26,8550
Somerset,2014,15,845312.03,53276.01
Somerset,2015,5,510780.14,3561.37
Somerset,2016,15,1252515,100381.8
Somerset,2017,18,411145,4919.71
Somerset,2018,26,957694,63579.47
Somerset,2019,35,1494170,12754.62
Somerset,2020,26,1196026,62250.07
Somerset,2021,4,127040,0
Sussex,2008,0,0,0
Sussex,2009,1,0,0
Sussex,2010,14,0,714.94
Sussex,2011,22,677625.03,8648.5
Sussex,2012,26,452254.4,3465.44
Sussex,2013,10,190980.68,14703.55
Sussex,2014,4,123237.43,15540.59
Sussex,2015,8,326907.21,5846.63
Sussex,2016,3,3611312,0
Sussex,2017,1,12549,0
Sussex,2018,5,191624,0
Sussex,2019,16,1123589,5014.57
Sussex,2020,8,890767,-2545.28
Sussex,2021,11,517011,12908.78
Union,2008,3,0,1401.22
Union,2009,24,0,17175.02
Union,2010,22,270009.6,12209.7
Union,2011,54,583611.41,71446.04
Union,2012,21,1098536.12,11173.34
Union,2013,16,21711.42,2374.66
Union,2014,7,258719.78,8668.7
Union,2015,19,66803.15,25334.16
Union,2016,20,583650.07,25756.21
Union,2017,13,297566,77784.57
Union,2018,25,431190,5919.57
Union,2019,27,483304,11878.21
Union,2020,49,483575,10657.87
Union,2021,14,1034216,30314.44
Warren,2008,1,3177.54,0
Warren,2009,6,0,0
Warren,2010,4,15443.4,12168.61
Warren,2011,27,403934.5,8268.76
Warren,2012,37,815537.39,28555.78
Warren,2013,9,387517.98,5580.79
Warren,2014,10,155394.27,0
Warren,2015,8,348724.11,14710
Warren,2016,6,264325.42,0
Warren,2017,1,1656,0
Warren,2018,13,387274,1425.21
Warren,2019,20,555757,10700.91
Warren,2020,10,384624,946.92
Warren,2021,1,144533,11138.65
